"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Aug 13, 2025",23945.00,24068.50,23886.00,23946.50,23946.50,453506
"Aug 12, 2025",23635.00,23953.50,23596.00,23938.00,23938.00,488577
"Aug 11, 2025",23764.00,23804.50,23587.50,23637.50,23637.50,443981
"Aug 08, 2025",23518.25,23767.75,23503.00,23713.75,23713.75,454190
"Aug 07, 2025",23418.50,23671.00,23329.00,23496.25,23496.25,561716
"Aug 06, 2025",23091.75,23445.25,23045.50,23422.75,23422.75,527514
"Aug 05, 2025",23354.00,23404.25,23084.50,23132.00,23132.00,542676
"Aug 04, 2025",22850.00,23352.50,22821.75,23296.50,23296.50,472671
"Aug 01, 2025",23308.50,23347.50,22775.00,22883.75,22883.75,803558
"Jul 31, 2025",23705.00,23845.00,23290.50,23365.00,23365.00,739642
"Jul 30, 2025",23452.00,23689.00,23356.50,23480.50,23480.50,538732
"Jul 29, 2025",23504.25,23652.50,23421.25,23452.00,23452.00,538169
"Jul 28, 2025",23520.00,23585.25,23436.75,23491.25,23491.25,424393
"Jul 25, 2025",23391.50,23476.00,23330.75,23421.25,23421.25,395469
"Jul 24, 2025",23402.25,23424.50,23298.25,23377.50,23377.50,435559
"Jul 23, 2025",23191.25,23418.00,23146.75,23310.75,23310.75,512963
"Jul 22, 2025",23339.50,23367.00,23108.00,23226.25,23226.25,537829
"Jul 21, 2025",23232.50,23424.75,23203.75,23342.00,23342.00,398833
"Jul 18, 2025",23261.25,23320.75,23169.50,23224.25,23224.25,450704
"Jul 17, 2025",23065.50,23279.75,23017.00,23251.00,23251.00,445290
"Jul 16, 2025",23018.75,23100.00,22835.50,23076.50,23076.50,548602
"Jul 15, 2025",23034.25,23222.75,22996.00,23056.75,23056.75,524056
"Jul 14, 2025",22860.75,23066.50,22803.00,23035.50,23035.50,414465
"Jul 11, 2025",23011.75,23048.75,22831.50,22959.00,22959.00,461057
"Jul 10, 2025",23041.00,23090.00,22901.25,23013.25,23013.25,391782
"Jul 09, 2025",22906.50,23112.00,22843.50,23052.75,23052.75,450523
"Jul 08, 2025",22837.75,22972.75,22808.50,22896.75,22896.75,420913
"Jul 07, 2025",22970.00,23028.50,22779.75,22884.75,22884.75,537930
"Jul 04, 2025",23059.25,23062.50,22882.00,22906.75,22906.75,0
"Jul 03, 2025",22845.00,23102.50,22827.00,23062.50,23062.50,0
"Jul 02, 2025",22694.50,22858.75,22582.00,22843.00,22843.00,408882
"Jul 01, 2025",22867.50,22914.75,22594.50,22692.75,22692.75,495079
"Jun 30, 2025",22751.50,22934.75,22751.50,22893.25,22893.25,434250
"Jun 27, 2025",22676.25,22825.50,22600.00,22751.50,22751.50,487835
"Jun 26, 2025",22461.25,22694.00,22437.75,22669.25,22669.25,422397
"Jun 25, 2025",22412.00,22548.25,22384.50,22461.00,22461.00,397611
"Jun 24, 2025",22079.00,22448.25,22065.75,22412.75,22412.75,447975
"Jun 23, 2025",21648.25,22093.00,21566.75,22073.50,22073.50,549766
"Jun 20, 2025",21731.00,21896.50,21435.50,21889.89,21889.89,649884
"Jun 18, 2025",21705.00,21872.50,21640.50,21720.25,21720.25,0
"Jun 17, 2025",21950.00,21952.00,21685.00,21730.50,21730.50,173026
"Jun 16, 2025",21554.00,21999.50,21501.75,21941.50,21941.50,336301
"Jun 13, 2025",21909.00,21915.75,21471.00,21644.25,21644.25,556189
"Jun 12, 2025",21871.00,21977.25,21713.25,21932.50,21932.50,397839
"Jun 11, 2025",21945.75,22106.00,21790.75,21887.50,21887.50,523556
"Jun 10, 2025",21824.00,21992.25,21732.00,21962.50,21962.50,439539
"Jun 09, 2025",21799.25,21890.75,21716.00,21821.50,21821.50,354827
"Jun 06, 2025",21471.00,21873.50,21471.00,21789.50,21789.50,466591
"Jun 05, 2025",21744.75,21935.00,21503.50,21582.25,21582.25,0
"Jun 04, 2025",21688.25,21803.00,21641.00,21766.50,21766.50,403012
"Jun 03, 2025",21555.00,21759.75,21399.25,21706.00,21706.00,427859
"Jun 02, 2025",21303.75,21576.25,21163.00,21534.50,21534.50,434593
"May 30, 2025",21371.25,21433.50,21071.50,21376.75,21376.75,551092
"May 29, 2025",21513.00,21858.75,21301.00,21408.50,21408.50,563888
"May 28, 2025",21480.00,21567.50,21321.25,21379.75,21379.75,421653
"May 27, 2025",20978.00,21488.50,20954.25,21460.50,21460.50,531358
"May 23, 2025",21223.75,21236.00,20727.00,20975.00,20975.00,528055
"May 22, 2025",21145.00,21337.50,21040.00,21178.25,21178.25,512634
"May 21, 2025",21414.75,21558.50,21072.75,21156.75,21156.75,605668
"May 20, 2025",21513.00,21562.25,21298.00,21447.25,21447.25,437865
"May 19, 2025",21310.75,21544.50,21112.50,21527.00,21527.00,520282
"May 16, 2025",21396.00,21512.00,21320.25,21506.00,21506.00,419242
"May 15, 2025",21379.75,21529.75,21192.00,21400.25,21400.25,542990
"May 14, 2025",21250.00,21419.50,21238.25,21392.50,21392.50,513593
"May 13, 2025",20954.75,21346.50,20818.00,21278.00,21278.00,526706
"May 12, 2025",20398.50,20996.00,20376.75,20948.75,20948.75,638564
"May 09, 2025",20157.00,20288.75,20058.00,20136.75,20136.75,453686
"May 08, 2025",19934.50,20337.25,19910.75,20148.00,20148.00,567597
"May 07, 2025",19809.00,20133.75,19678.75,19961.00,19961.00,597360
"May 06, 2025",20014.25,20036.75,19739.00,19876.50,19876.50,514526
"May 05, 2025",20181.50,20201.75,19966.00,20055.50,20055.50,418875
"May 02, 2025",19782.50,20276.75,19749.50,20195.25,20195.25,517806
"May 01, 2025",19834.00,20125.75,19757.25,19870.75,19870.75,588901
"Apr 30, 2025",19599.75,19880.00,19103.75,19658.50,19658.50,713642
"Apr 29, 2025",19478.25,19688.50,19378.00,19642.00,19642.00,565539
"Apr 28, 2025",19524.50,19623.00,19257.25,19528.00,19528.00,514474
"Apr 25, 2025",19405.00,19589.00,19216.25,19535.25,19535.25,587589
"Apr 24, 2025",18826.50,19418.00,18594.75,19322.00,19322.00,599457
"Apr 23, 2025",18646.00,19165.50,18623.75,18804.00,18804.00,733977
"Apr 22, 2025",17914.00,18514.00,17863.75,18385.00,18385.00,619146
"Apr 21, 2025",18306.25,18383.50,17700.00,17922.25,17922.25,484750
"Apr 17, 2025",18391.25,18652.75,18261.50,18380.75,18380.75,629368
"Apr 16, 2025",18790.00,18861.25,18116.25,18385.25,18385.25,683175
"Apr 15, 2025",18902.50,19144.75,18809.00,18960.25,18960.25,525790
"Apr 14, 2025",19225.00,19256.00,18737.50,18934.75,18934.75,570510
"Apr 11, 2025",18464.75,18873.50,18067.00,18807.50,18807.50,667630
"Apr 10, 2025",19266.75,19383.50,17919.00,18484.50,18484.50,975104
"Apr 09, 2025",17220.25,19386.75,16735.00,19288.75,19288.75,1086917
"Apr 08, 2025",17665.00,18357.25,16973.50,17243.75,17243.75,956641
"Apr 07, 2025",17100.00,18361.50,16460.00,17563.25,17563.25,1140389
"Apr 04, 2025",18660.00,18713.00,17387.50,17539.00,17539.00,1199851
"Apr 03, 2025",19020.00,19177.00,18614.00,18675.50,18675.50,893793
"Apr 02, 2025",19600.50,20044.25,19076.75,19758.00,19758.00,835319
"Apr 01, 2025",19411.25,19644.00,19261.25,19604.50,19604.50,790964
"Mar 31, 2025",19319.75,19489.75,18976.75,19439.50,19439.50,842547
"Mar 28, 2025",19995.25,20011.75,19357.50,19457.00,19457.00,696397
"Mar 27, 2025",20046.00,20199.50,19937.25,19990.25,19990.25,634738
"Mar 26, 2025",20511.50,20536.75,20045.00,20116.50,20116.50,620685
"Mar 25, 2025",20353.00,20524.75,20293.00,20488.50,20488.50,470886
"Mar 24, 2025",20050.50,20409.50,20050.50,20374.25,20374.25,555043
"Mar 21, 2025",19690.75,19728.75,19408.00,19450.81,19450.81,605235
"Mar 20, 2025",19746.75,19898.75,19530.25,19678.50,19678.50,116159
"Mar 19, 2025",19496.75,19935.00,19455.50,19746.75,19746.75,210518
"Mar 18, 2025",19821.00,19858.00,19397.75,19496.75,19496.75,360195
"Mar 17, 2025",19668.25,19959.25,19550.50,19831.75,19831.75,584953
"Mar 14, 2025",19312.75,19742.50,19296.75,19712.00,19712.00,742663
"Mar 13, 2025",19572.00,19694.00,19170.00,19249.00,19249.00,761160
"Mar 12, 2025",19412.75,19788.75,19387.00,19618.50,19618.50,702688
"Mar 11, 2025",19440.00,19686.75,19139.25,19399.00,19399.00,857876
"Mar 10, 2025",20147.00,20156.50,19272.25,19452.75,19452.75,798366
"Mar 07, 2025",20214.50,20286.25,19765.50,20229.75,20229.75,763257
"Mar 06, 2025",20605.25,20647.50,20003.00,20089.25,20089.25,763150
